"gene","Xist_RIP_r","Airn_RIP_r","Kcnq1ot1_RIP_r","Xist_network_r","Airn_network_r","Kcnq1ot1_network_r","total_intra","rare","prev","rare_ratio","mean_silhouette","modularity","genetype"
"0610040B10Rik_chr5_143329247_143332704_+_ENSMUSG00000089889.2_ENSMUSG00000089889.2.unspliced",-0.135447755,0.098290227,0.024067079,0.237255852711549,0.201528679032383,0.215992006067288,59,21,36,0.35593220338983,0.189570374813013,0.000310279758361745,"lncRNA"
"0610040B10Rik_chr5_143329247_143332704_+_ENSMUSG00000089889.2_ENSMUST00000198455.1",-0.112618704,-0.184266044,-0.138676077,0.237254359610138,0.0921620435940152,0.0933851235694375,79,35,42,0.443037974683544,0.135939134073463,-0.00207269412778284,"lncRNA"
"0610040F04Rik_chr6_108577039_108660934_-_ENSMUSG00000087341.4_ENSMUSG00000087341.4.unspliced",0.658335425,0.573024311,0.389251117,0.318434186520566,0.450373661699993,0.456167160818322,105,26,71,0.247619047619048,0.107981976878352,-0.0308968704053769,"lncRNA"
"0610040J01Rik_chr5_63812363_63899625_+_ENSMUSG00000060512.7_ENSMUSG00000060512.7.unspliced",-0.113721598,0.617180297,0.843177275,0.213850819567492,0.499763213624297,0.4599672984976,46,1,43,0.0217391304347826,0.121387620963375,-0.0213124317813994,"protein_coding"
"0610043K17Rik_chr4_101353783_101399181_+_ENSMUSG00000087361.7_ENSMUSG00000087361.7.unspliced",0.094095202,0.36786028,0.515007236,0.128108790479066,0.105478384541338,0.125271230577422,61,23,37,0.377049180327869,0.168151191435926,0.0129191464653796,"lncRNA"
"1110002J07Rik_chr10_66912489_66920258_-_ENSMUSG00000097134.2_ENSMUSG00000097134.2.unspliced",0.185509771,0.153309971,0.100208969,0.0854787232650685,0.0171520335793014,-0.0215665394908791,NA,NA,NA,NA,NA,NA,"lncRNA"
"1110002L01Rik_chr12_3403878_3427011_-_ENSMUSG00000071456.6_ENSMUSG00000071456.6.unspliced",0.384541719,0.904047218,0.878297487,0.173710043928997,0.204845089891743,0.205928812014541,125,32,83,0.256,0.240673244514235,-0.0228337176001075,"lncRNA"
"1110003F10Rik_chr5_65405751_65406517_+_ENSMUSG00000106291.1_ENSMUST00000199441.1.monoexonic.unspliced",NA,NA,NA,0.158354578887089,0.0190283206927165,-0.114088706356214,NA,NA,NA,NA,NA,NA,"others"
"1110004F10Rik_chr7_116039397_116105210_+_ENSMUSG00000030663.12_ENSMUSG00000030663.12.unspliced",0.06684742,0.413558346,0.633341429,0.108553719134109,0.220166783375768,0.178763060545144,71,25,40,0.352112676056338,0.324992758092384,-0.0196342410157133,"protein_coding"
"1110008P14Rik_chr2_32377097_32381938_-_ENSMUSG00000039195.4_ENSMUSG00000039195.4.unspliced",0.06010752,0.264194415,0.254925254,0.141217180293211,0.171926374462411,0.201687316478132,79,15,59,0.189873417721519,0.311385439428091,-0.0116305891779675,"protein_coding"
"1110012L19Rik_chrX_70385877_70389417_+_ENSMUSG00000045237.5_ENSMUSG00000045237.5.unspliced",-0.038638253,0.307304574,0.366200659,-0.0333781768225525,0.00678050625357675,-0.0118951670843627,76,36,36,0.473684210526316,0.368255536185389,-0.0194541798333812,"protein_coding"
"1110019D14Rik_chr6_13871526_14044385_+_ENSMUSG00000097616.7_ENSMUSG00000097616.7.unspliced",-0.069157943,0.114873244,0.378924915,0.0399476499337734,0.321863537697762,0.418842617931211,82,25,53,0.304878048780488,0.072757542240503,-0.0235024238227147,"lncRNA"
"1110019D14Rik_chr6_13871526_14044385_+_ENSMUSG00000097616.7_ENSMUST00000181225.1",0.067960396,0.20659344,0.072984727,0.0626975344567502,0.143978270172506,0.22266225966165,64,18,39,0.28125,0.184250183012676,-0.0247505990512984,"lncRNA"
"1110025M09Rik_chr15_81584174_81585028_-_ENSMUSG00000103520.1_ENSMUST00000192082.1.monoexonic.unspliced",-0.085789566,0.202659753,0.207967401,-0.0104728963131189,0.0639026894478109,0.0854754562720598,NA,NA,NA,NA,NA,NA,"others"
"1110032A03Rik_chr9_50762828_50775520_-_ENSMUSG00000037971.10_ENSMUSG00000037971.10.unspliced",0.494919327,0.569748241,0.42071646,0.154285717261424,0.217796708451819,0.175586452419899,88,35,47,0.397727272727273,0.202419324082305,0.00633620493875753,"protein_coding"
"1110035H17Rik_chr7_29155680_29156920_+_ENSMUSG00000099098.4_ENSMUST00000205672.1",NA,NA,NA,0.00468498737481985,0.012080442300727,-0.00858213763583517,NA,NA,NA,NA,NA,NA,"lncRNA"
"1110038B12Rik_chr17_34950238_34952471_-_ENSMUSG00000092203.7_ENSMUSG00000092203.7.unspliced",-0.110547016,-0.100130436,-0.091456928,0.354352873161905,0.265817260273441,0.227658291476712,NA,NA,NA,NA,NA,NA,"lncRNA"
"1110038F14Rik_chr15_76948506_76950979_+_ENSMUSG00000063236.6_ENSMUSG00000063236.6.unspliced",-0.049593847,-0.113172384,-0.135418965,0.19562654596472,0.250814415937858,0.113441404906119,NA,NA,NA,NA,NA,NA,"protein_coding"
"1110038F14Rik_chr15_76948506_76950979_+_ENSMUSG00000063236.6_ENSMUST00000229229.1",-0.150133013,-0.147884064,-0.129436965,0.225651367740307,0.181446132221454,0.0943794875551268,NA,NA,NA,NA,NA,NA,"protein_coding"
"1110046J04Rik_chr13_33935567_33960181_+_ENSMUSG00000085457.3_ENSMUSG00000085457.3.unspliced",0.072873423,0.237393286,0.441900175,0.154105627310519,0.231881828014556,0.277572292732667,77,34,42,0.441558441558442,0.0610342244497508,0.00211366320460035,"lncRNA"
"1110046J04Rik_chr13_33935567_33960181_+_ENSMUSG00000085457.3_ENSMUST00000180906.1",0.275172299,0.650389949,0.769214253,-0.0542689172593848,0.0563935842345708,0.122032124310529,77,45,32,0.584415584415584,0.116234244971063,-0.0128058706154169,"lncRNA"
"1110051M20Rik_chr2_91275068_91444704_-_ENSMUSG00000040591.18_ENSMUSG00000040591.18.unspliced",-0.013681106,0.646643958,0.738920437,0.102470502415886,0.346435482051155,0.277976589722882,78,28,47,0.358974358974359,0.328602870214883,0.0844157235939643,"protein_coding"
"1110059E24Rik_chr19_21581202_21652976_-_ENSMUSG00000035171.9_ENSMUSG00000035171.9.unspliced",0.077262989,0.640263236,0.866199645,0.232681962245549,0.263608088740903,0.295380799234108,65,13,49,0.2,0.276573745518133,0.00370993272655325,"protein_coding"
"1110059G10Rik_chr9_122945089_122951000_-_ENSMUSG00000032551.7_ENSMUSG00000032551.7.unspliced",-0.163719589,-0.169196459,-0.149427647,0.223963128683528,0.333607500142431,0.279686714989088,99,26,66,0.262626262626263,0.184361631425491,0.0369760072430965,"protein_coding"
"1110065P20Rik_chr4_124849080_124851196_-_ENSMUSG00000078570.10_ENSMUSG00000078570.10.unspliced",0.608313315,0.379797372,0.177555788,0.103360711840405,0.137705907790059,0.126717251559597,67,27,39,0.402985074626866,0.286827175720789,0.0136314734216832,"protein_coding"
"1190007I07Rik_chr10_82619851_82623228_-_ENSMUSG00000063320.11_ENSMUSG00000063320.11.unspliced",-0.113820799,0.50677605,0.607635287,0.331393322422882,0.39331855236172,0.274341613488674,112,10,96,0.0892857142857143,0.208446012793753,-0.00422777777777784,"protein_coding"
"1190028D05Rik_chr8_52356611_52403339_+_ENSMUSG00000110013.1_ENSMUSG00000110013.1.unspliced",-0.200961046,-0.21076546,-0.113622619,0.136137205554453,0.0844080768519433,0.184551192678377,71,33,35,0.464788732394366,0.139227449653992,-0.0264780990304709,"lncRNA"
"1300002E11Rik_chr16_21794318_21809040_+_ENSMUSG00000097290.9_ENSMUSG00000097290.9.unspliced",-0.162310403,0.277542063,0.404333743,0.0449944491140099,0.209297232367105,0.379067292242213,78,15,60,0.192307692307692,0.252408963090203,-0.0157776591115858,"lncRNA"
"1300002E11Rik_chr16_21794318_21809040_+_ENSMUSG00000097290.9_ENSMUST00000180830.2",-0.086309354,-0.062957405,0.051558019,-0.0150174144774748,0.0745834611972815,0.224997965604973,NA,NA,NA,NA,NA,NA,"lncRNA"
"1300002E11Rik_chr16_21794318_21809040_+_ENSMUSG00000097290.9_ENSMUST00000209728.1",-0.176808169,-0.260475043,-0.319690586,-0.0625235010477669,0.0471804032546608,0.178471910973973,NA,NA,NA,NA,NA,NA,"lncRNA"
"1300014J16Rik_chr12_80115863_80117199_+_ENSMUSG00000112545.1_ENSMUST00000219015.1.monoexonic.unspliced",-0.013620373,0.356885683,0.440574255,0.0450975933997477,0.297500636569301,0.270794888625667,72,19,49,0.263888888888889,0.181268145057375,-0.014599253088193,"lncRNA"
"1300017J02Rik_chr9_103250521_103305082_-_ENSMUSG00000033688.10_ENSMUSG00000033688.10.unspliced",0.543210527,0.780007801,0.672219959,0.154269697767436,0.319778358036357,0.297850057551384,47,16,30,0.340425531914894,0.105753949189711,-0.0222474474620306,"protein_coding"
"1500009L16Rik_chr10_83722865_83762762_+_ENSMUSG00000087651.3_ENSMUSG00000087651.3.unspliced",-0.096212015,0.375309382,0.591152962,0.20174032875379,0.165469393715851,0.1448107846535,68,9,55,0.132352941176471,0.331470624299642,0.0148005633519441,"protein_coding"
"1500011B03Rik_chr5_114808196_114823468_-_ENSMUSG00000072694.8_ENSMUSG00000072694.8.unspliced",0.058823462,0.72189156,0.666322143,0.346895904943953,0.318299013659164,0.323017652167505,86,20,64,0.232558139534884,0.187815996207131,-0.0155999622961637,"protein_coding"
"1500015A07Rik_chr18_61726390_61735917_+_ENSMUSG00000098702.1_ENSMUST00000184181.1",0.470869348,0.335687294,0.137344193,0.357040417171432,0.528615121213626,0.432568035666451,NA,NA,NA,NA,NA,NA,"lncRNA"
"1600010M07Rik_chr7_109998376_110151202_-_ENSMUSG00000101585.6_ENSMUSG00000101585.6.unspliced",0.285196273,0.290824248,0.160018767,0.126818717748382,0.198467836077223,0.174344904881791,44,14,25,0.318181818181818,0.219836623809271,-0.0174087905774203,"lncRNA"
"1600012H06Rik_chr17_14943184_14959570_+_ENSMUSG00000050088.9_ENSMUSG00000050088.9.unspliced",0.722206717,0.45435865,0.265025199,0.401624651774677,0.263705034667066,0.130344901643744,93,12,75,0.129032258064516,0.261419268196557,0.00240968963762785,"protein_coding"
"1600014C10Rik_chr7_38183217_38197568_+_ENSMUSG00000054676.15_ENSMUSG00000054676.15.unspliced",-0.129560118,-0.019786874,0.268910339,0.114343163613435,0.112527246683972,0.127070476465992,77,20,53,0.25974025974026,0.114364035206206,0.000163280933291284,"protein_coding"
"1600020E01Rik_chr6_86526247_86582466_+_ENSMUSG00000097048.7_ENSMUSG00000097048.7.unspliced",-0.096127653,0.174804484,0.382356102,0.243568169967758,0.434795220307851,0.404381558805535,74,6,67,0.0810810810810811,0.211938450320766,-0.0121066562101755,"lncRNA"
"1600020E01Rik_chr6_86526247_86582466_+_ENSMUSG00000097048.7_ENSMUST00000204008.2",-0.086822777,-0.171333435,-0.186632133,0.278160563869531,0.190406046671002,0.266249167961999,NA,NA,NA,NA,NA,NA,"lncRNA"
"1600025M17Rik_chrX_56317608_56320664_+_ENSMUSG00000085114.1_ENSMUSG00000085114.1.unspliced",NA,NA,NA,0.0343268644028818,0.119750448444813,0.0555542639230905,NA,NA,NA,NA,NA,NA,"lncRNA"
"1600025M17Rik_chrX_56317608_56320664_+_ENSMUSG00000085114.1_ENSMUST00000138262.1",NA,NA,NA,0.0325914782493161,0.104382064530248,0.0775601714514588,NA,NA,NA,NA,NA,NA,"lncRNA"
"1700001C19Rik_chr17_47412734_47437376_-_ENSMUSG00000047150.8_ENSMUSG00000047150.8.unspliced",-0.068692724,0.290012679,0.301708992,0.160406713730893,0.154243954682414,0.0739851819062433,57,27,26,0.473684210526316,0.11579400705962,0.00386834319526626,"protein_coding"
"1700001G11Rik_chr14_66295334_66297129_-_ENSMUSG00000085984.7_ENSMUSG00000085984.7.unspliced",0.716971832,0.438400438,0.267515865,-0.0109733782423064,0.0287635286730889,0.161940665965894,NA,NA,NA,NA,NA,NA,"lncRNA"
"1700001G17Rik_chr1_33669824_33670712_+_ENSMUSG00000103746.1_ENSMUST00000191779.1.monoexonic.unspliced",0.71177208,0.474417978,0.287840032,-0.0104267008334717,0.0234355008805577,-0.027683235134109,NA,NA,NA,NA,NA,NA,"others"
"1700001J03Rik_chr5_146182441_146185304_-_ENSMUSG00000095040.2_ENSMUSG00000095040.2.unspliced",-0.196765002,-0.220717993,-0.221136423,0.0809275556149437,-0.0204420266208078,-0.0485150653952831,49,16,30,0.326530612244898,0.236936436497711,-0.00374333905844011,"protein_coding"
"1700001J03Rik_chr5_146182441_146185304_-_ENSMUSG00000095040.2_ENSMUST00000073721.6",-0.027270739,-0.13267297,-0.187706083,0.108321829106678,-0.0667124056550443,-0.033772169247773,NA,NA,NA,NA,NA,NA,"protein_coding"
"1700001K19Rik_chr12_110667688_110682619_-_ENSMUSG00000056508.6_ENSMUSG00000056508.6.unspliced",-0.028104495,-0.006658458,-0.034565182,0.0342290552044763,0.249058529091033,0.286793553330973,97,38,57,0.391752577319588,0.201414763905979,-0.0183685609877502,"protein_coding"
"1700001L05Rik_chr15_83353847_83367282_-_ENSMUSG00000075511.9_ENSMUSG00000075511.9.unspliced",-0.020560836,0.147663923,0.497468463,0.216864986511672,0.406517425828166,0.461892551070978,85,25,56,0.294117647058824,0.105408817465136,0.00395942239014545,"lncRNA"
"1700001L05Rik_chr15_83353847_83367282_-_ENSMUSG00000075511.9_ENSMUST00000179705.1",0.671023749,0.56017385,0.28226414,0.168782655979746,0.194097072027133,0.203108412678211,74,24,48,0.324324324324324,0.216144275612493,-0.000388066611293406,"lncRNA"
"1700001O22Rik_chr2_30794769_30803661_-_ENSMUSG00000044320.14_ENSMUSG00000044320.14.unspliced",-0.069462733,0.734497343,0.597564979,0.253410487503,0.31763002244745,0.336219024224965,43,18,22,0.418604651162791,0.152106168446695,-0.00104902555360684,"protein_coding"
"1700001P01Rik_chr11_97771481_97775918_-_ENSMUSG00000018543.8_ENSMUSG00000018543.8.unspliced",-0.035546305,-0.052916038,-0.015324322,-0.0111280573050945,0.337094706273129,0.326934356809776,NA,NA,NA,NA,NA,NA,"protein_coding"
"1700003C15Rik_chr5_11689253_11769308_-_ENSMUSG00000099391.2_ENSMUSG00000099391.2.unspliced",-0.086389651,0.079606165,0.078479021,0.00587008092706896,-0.0486977204920748,0.00144464210220256,NA,NA,NA,NA,NA,NA,"lncRNA"
"1700003F12Rik_chr2_154547085_154550003_+_ENSMUSG00000038523.10_ENSMUSG00000038523.10.unspliced",-0.173619053,0.207898722,0.134130627,-0.0965735728516841,-0.00599150498206849,0.107926225106327,51,30,19,0.588235294117647,0.162497815900271,-0.0207730516975309,"protein_coding"
"1700003G18Rik_chr7_116081759_116093159_-_ENSMUSG00000087621.7_ENSMUSG00000087621.7.unspliced",-0.024337178,-0.120867588,-0.11689278,-0.00619501537516318,0.102523517758508,0.233334157249137,NA,NA,NA,NA,NA,NA,"lncRNA"
"1700003M07Rik_chr4_129960374_129963657_+_ENSMUSG00000085389.7_ENSMUSG00000085389.7.unspliced",-0.222270673,0.250917902,0.0529649,0.134322202770891,0.185252146114318,0.276277887420974,NA,NA,NA,NA,NA,NA,"lncRNA"
"1700007K13Rik_chr2_28462001_28466332_-_ENSMUSG00000026831.16_ENSMUSG00000026831.16.unspliced",-0.035961876,0.120632066,0.073141692,0.0160387729238724,-0.0839049566209299,0.00339489801012148,NA,NA,NA,NA,NA,NA,"protein_coding"
"1700007L15Rik_chr16_33379854_33380727_-_ENSMUSG00000097318.2_ENSMUSG00000097318.2.unspliced",0.083503948,0.248279495,0.419681872,0.209473489057469,0.125787607324935,0.100075342833463,NA,NA,NA,NA,NA,NA,"lncRNA"
"1700008A23Rik_chr9_99322826_99323516_+_ENSMUSG00000103452.1_ENSMUST00000191694.1.monoexonic.unspliced",0.739352807,0.455975071,0.279069033,0.131795590102347,0.123067251674975,0.0752816280426061,NA,NA,NA,NA,NA,NA,"others"
"1700008J07Rik_chr7_127510438_127512869_-_ENSMUSG00000101225.1_ENSMUST00000185351.1.monoexonic.unspliced",0.4842023,0.765244245,0.57018525,0.206083329087914,0.443853762117751,0.449784352099042,101,19,77,0.188118811881188,0.249866462509503,0.0215205296457774,"lncRNA"
"1700008O03Rik_chr7_44360043_44385820_-_ENSMUSG00000008028.15_ENSMUSG00000008028.15.unspliced",-0.118759738,0.05613622,0.138956866,0.37230364890233,0.488643945637901,0.403714843864777,68,16,51,0.235294117647059,0.17991608928243,-0.0085128969367861,"protein_coding"
"1700010I14Rik_chr17_8988333_9011949_+_ENSMUSG00000023873.13_ENSMUSG00000023873.13.unspliced",-0.14012074,0.452769092,0.417745308,0.260480766664591,0.305622075863596,0.259892661258956,63,15,47,0.238095238095238,0.157119614997544,0.0034810993425858,"protein_coding"
"1700010K24Rik_chr3_108248909_108256985_-_ENSMUSG00000085102.1_ENSMUSG00000085102.1.unspliced",0.590663593,0.482292317,0.281248382,0.321565848090705,0.268853261220535,0.190932258104914,55,14,39,0.254545454545455,0.220485467451998,0.00654987373737375,"lncRNA"
"1700012C14Rik_chr6_30460128_30463313_+_ENSMUSG00000085470.1_ENSMUSG00000085470.1.unspliced",-0.097758509,0.298451318,0.241671,-0.0214438132427656,-0.00394454603656707,-0.042571596596918,40,10,27,0.25,0.206461132024247,-0.012503123698459,"lncRNA"
"1700012D14Rik_chr7_111083064_111122684_-_ENSMUSG00000110424.1_ENSMUSG00000110424.1.unspliced",-0.064913404,0.48949653,0.558444451,0.184177002706494,0.326544342811808,0.441036196475063,57,8,46,0.140350877192982,0.190111376301364,-0.018042250913971,"lncRNA"
"1700012D14Rik_chr7_111083064_111122684_-_ENSMUSG00000110424.1_ENSMUST00000210788.1",0.571610538,0.323471928,0.140476912,0.181898784558951,0.209290680774313,0.382617491499448,NA,NA,NA,NA,NA,NA,"lncRNA"
"1700016A09Rik_chr8_120536892_120537726_-_ENSMUSG00000102737.1_ENSMUST00000192004.1.monoexonic.unspliced",0.37982802,0.126860679,0.063323533,-0.122203699859605,0.0567239001681485,0.0895450311466235,42,15,24,0.357142857142857,0.151626090869483,-0.0306769929741491,"others"
"1700017B05Rik_chr9_57253117_57262612_-_ENSMUSG00000032300.7_ENSMUSG00000032300.7.unspliced",-0.077808509,0.023620697,0.348247229,0.291521617224149,0.263700515773943,0.238912030140942,NA,NA,NA,NA,NA,NA,"protein_coding"
"1700018L02Rik_chr19_29046245_29048729_+_ENSMUSG00000100075.1_ENSMUST00000187897.1.monoexonic.unspliced",0.062762104,0.275127668,0.180947826,0.0998379836197739,0.122517673568171,0.176208696169177,NA,NA,NA,NA,NA,NA,"lncRNA"
"1700019A02Rik_chr1_53158577_53187636_-_ENSMUSG00000060715.9_ENSMUSG00000060715.9.unspliced",-0.123112961,-0.021243258,0.268575817,0.11406234055062,0.289301119621021,0.251272797932738,53,20,29,0.377358490566038,0.154514567333222,0.00552598132218312,"protein_coding"
"1700019D03Rik_chr1_52922324_53020179_-_ENSMUSG00000043629.12_ENSMUSG00000043629.12.unspliced",-0.1032814,0.037121168,0.32234975,0.0358242249613905,0.166698518351774,0.172251909467275,70,27,36,0.385714285714286,0.195377828327001,-0.0291066529492455,"protein_coding"
"1700019D03Rik_chr1_52922324_53020179_-_ENSMUSG00000043629.12_ENSMUST00000114492.7",0.284863237,-0.164646994,-0.169214961,0.411850251274511,0.421997819715807,0.258140201454936,75,15,58,0.2,0.275940597088517,0.0453792590589508,"protein_coding"
"1700019L13Rik_chr9_119983146_119988092_+_ENSMUSG00000111639.1_ENSMUSG00000111639.1.unspliced",-0.095932976,-0.045802462,-0.136906993,0.065130238875563,0.16351150168622,0.106501534536868,NA,NA,NA,NA,NA,NA,"lncRNA"
"1700020D05Rik_chr19_5502767_5503787_-_ENSMUSG00000100937.1_ENSMUST00000189704.1.monoexonic.unspliced",0.557306524,0.460983896,0.232901076,0.109107767198166,0.269637154591845,0.167194385777345,NA,NA,NA,NA,NA,NA,"protein_coding"
"1700021A07Rik_chr10_21419358_21426565_+_ENSMUSG00000037535.5_ENSMUSG00000037535.5.unspliced",0.588269819,0.372075436,0.326120079,0.0439680099869952,0.118491735256398,0.157802575506901,68,17,46,0.25,0.127394161815272,0.0547437081828617,"lncRNA"
"1700022H01Rik_chr10_61674789_61680255_-_ENSMUSG00000112581.1_ENSMUSG00000112581.1.unspliced",-0.098873978,0.293265662,0.236988639,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lncRNA"
"1700022N22Rik_chr17_25985808_25991030_+_ENSMUSG00000097523.2_ENSMUSG00000097523.2.unspliced",-0.024963075,0.437044874,0.507232037,0.188463573226923,0.284226861433774,0.345160077963795,53,21,29,0.39622641509434,0.118815071728131,-0.0251010249539806,"lncRNA"
"1700022N22Rik_chr17_25985808_25991030_+_ENSMUSG00000097523.2_ENSMUST00000180932.2",0.693671329,0.498039149,0.300548999,0.103715538131099,0.0870727192958123,0.11432695108959,61,31,27,0.508196721311475,0.209879117653512,0.0199721079182521,"lncRNA"
"1700024B05Rik_chr14_41943995_42003821_+_ENSMUSG00000052334.11_ENSMUSG00000052334.11.unspliced",0.213478395,0.479666782,0.431943603,0.150074018892386,0.476439546165844,0.447574723574543,58,16,42,0.275862068965517,0.156544580946651,-0.0326797385620915,"protein_coding"
"1700024J04Rik_chr11_49586641_49588462_-_ENSMUSG00000069890.3_ENSMUSG00000069890.3.unspliced",0.120910222,0.613444309,0.341405185,-0.077486247832193,0.0515574358083379,0.153601720567461,NA,NA,NA,NA,NA,NA,"others"
"1700024J04Rik_chr11_49586641_49588462_-_ENSMUSG00000069890.3_ENSMUST00000093146.3",0.13667262,0.61847834,0.347231283,-0.0745861443569165,0.059484221908118,0.15819803920376,NA,NA,NA,NA,NA,NA,"others"
"1700025G04Rik_chr1_151852403_152090125_-_ENSMUSG00000032666.16_ENSMUSG00000032666.16.unspliced",-0.133530455,0.434924699,0.720568338,0.17886056539636,0.291255943823704,0.353804404090155,66,9,54,0.136363636363636,0.172743805080985,0.089475,"protein_coding"
"1700025M24Rik_chr5_73268581_73284187_-_ENSMUSG00000100175.6_ENSMUSG00000100175.6.unspliced",0.07429335,0.210343418,0.223339637,0.294128845049998,0.32661037113171,0.312877815575064,57,6,51,0.105263157894737,0.28077360111231,-0.00782941408749882,"lncRNA"
"1700025M24Rik_chr5_73268581_73284187_-_ENSMUSG00000100175.6_ENSMUST00000191524.2",0.440279683,0.189353624,0.070430926,0.28633503141345,0.366503758865506,0.289576021976675,NA,NA,NA,NA,NA,NA,"lncRNA"
"1700026J14Rik_chr6_48536582_48537474_-_ENSMUSG00000097716.1_ENSMUST00000180937.1",NA,NA,NA,0.145834356227616,0.181172115363186,0.0686809612256063,NA,NA,NA,NA,NA,NA,"lncRNA"
"1700026N04Rik_chr13_47106419_47109519_+_ENSMUSG00000114681.1_ENSMUSG00000114681.1.unspliced",-0.174579567,0.65410743,0.577929874,0.219773845471301,0.333209097928747,0.381776457396188,75,14,56,0.186666666666667,0.250826988355905,-0.025153691467969,"lncRNA"
"1700027I24Rik_chr9_36668856_36693189_-_ENSMUSG00000098304.2_ENSMUSG00000098304.2.unspliced",-0.128350515,0.105868996,0.332660849,0.0176564984294695,0.174833436369312,0.337555205991039,49,19,28,0.387755102040816,0.0561693196701678,-0.033406568397465,"lncRNA"
"1700027I24Rik_chr9_36668856_36693189_-_ENSMUSG00000098304.2_ENSMUST00000183612.1",-0.093817735,0.068093019,0.136835197,-0.0975141382339957,0.0170686545186237,0.180157304306432,NA,NA,NA,NA,NA,NA,"lncRNA"
"1700027J07Rik_chr10_43745809_43765836_+_ENSMUSG00000111422.1_ENSMUSG00000111422.1.unspliced",0.376530227,0.346881625,0.351800692,0.138784266375334,0.377004423797256,0.310429232552641,55,23,30,0.418181818181818,0.109624650148495,0.0409694508623305,"lncRNA"
"1700028E10Rik_chr5_151368675_151432118_+_ENSMUSG00000097321.5_ENSMUSG00000097321.5.unspliced",0.091906037,0.78026852,0.82593874,0.0880637671016644,0.276213686413048,0.305407566139029,62,27,32,0.435483870967742,0.0584781414997988,-0.0187693649959173,"lncRNA"
"1700028I16Rik_chr10_82812123_82824242_+_ENSMUSG00000056821.13_ENSMUSG00000056821.13.unspliced",0.245925074,0.448818613,0.659090041,0.199705848299375,0.304566716882438,0.251247547501601,NA,NA,NA,NA,NA,NA,"lncRNA"
"1700028J19Rik_chr7_44229811_44246695_-_ENSMUSG00000038782.7_ENSMUSG00000038782.7.unspliced",-0.130342836,0.512199984,0.488941867,0.151269979903648,0.247555548624535,0.297694561179426,70,21,42,0.3,0.0989508483534542,0.0174944414398173,"protein_coding"
"1700028N14Rik_chr11_103264860_103267745_-_ENSMUSG00000078635.3_ENSMUSG00000078635.3.unspliced",-0.071499593,-0.128051422,0.060679331,-0.0121670621779782,0.191714273712328,0.324322670588367,82,37,41,0.451219512195122,0.0600893198562254,-0.0350279113121983,"lncRNA"
