"target_id","length.x","Median_tpm","chrom_average","cyto_average","chrom_enrichment","alyref_rpm_less_igg","ciz1_rpm_less_igg","hnrnpc_rpm_less_igg","hnrnpk_rpm_less_igg","hnrnpl_rpm_less_igg","hnrnpm_rpm_less_igg","hnrnpu_rpm_less_igg","khdrbs1_rpm_less_igg","lbr_rpm_less_igg","matrin3_rpm_less_igg","nudt21_rpm_less_igg","nxf1_rpm_less_igg","pabpn1_rpm_less_igg","ptbp1_rpm_less_igg","rbm15_rpm_less_igg","ring1b_rpm_less_igg","rybp_rpm_less_igg","safb_rpm_less_igg","sfpq_rpm_less_igg","spen_rpm_less_igg","srsf1_rpm_less_igg","supt16h_rpm_less_igg","tia1_rpm_less_igg","u2af35_rpm_less_igg","u2af65_rpm_less_igg","xrn2_rpm_less_igg","ythdc1_rpm_less_igg"
"0610043K17Rik_chr4_101353783_101399181_+_ENSMUSG00000087361.7_ENSMUSG00000087361.7.unspliced",45399,0.1351685,1.757265,0.1297921,0.931219834,0,0,0.391195,0.17804,0.50311,0.774765,0.572987,0,0,1.59053,0,0.218033,0.081257,0.833815,0,0,0,1.47986,0.114994,0.167383,0.189391,0.0497162,0.217577,0.0395748,0,0,0.647084
"1110002J07Rik_chr10_66912489_66920258_-_ENSMUSG00000097134.2_ENSMUSG00000097134.2.unspliced",7770,0.1976025,0.955527,0.2216915,0.811681943,0,0.0742714,0,0.0271762,-0.0321686,0,0,-0.0321686,0.114884,0.0451573,0.0266296,0,0,0,0,0.177968,0,0.250879,0.0475274,-0.0439538,0,0.126803,0.233561,0.202402,0,0.0671917,0.17158
"1110002L01Rik_chr12_3403878_3427011_-_ENSMUSG00000071456.6_ENSMUSG00000071456.6.unspliced",23134,3.76134,38.23215,1.12078,0.971519783,0.192761,0,16.3978,21.5062,24.6015,1.95366,33.6439,0.253214,0.329852,4.03053,3.83471,2.99958,1.56476,0.285798,0.957847,1.02887,0,22.3088,1.59583,3.45606,2.6482,0.540648,9.48934,1.99944,2.45097,1.88103,30.7653
"1110003F10Rik_chr5_65405751_65406517_+_ENSMUSG00000106291.1_ENSMUST00000199441.1.monoexonic.unspliced",767,0.2330215,3.024755,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110004F10Rik_chr7_116039397_116105210_+_ENSMUSG00000030663.12_ENSMUSG00000030663.12.unspliced",65814,0.417423,3.85628,0.2761325,0.933178863,0.0096363,0,2.60156,2.8535,0.944329,4.98517,6.21516,0.927915,0,-0.00804247,0.0974486,0,0.291916,0.144197,0.2831,0,0,5.68341,0.85138,0.0248644,2.17441,0,1.43638,0.031212,1.28105,0,0.294608
"1110008P14Rik_chr2_32377097_32381938_-_ENSMUSG00000039195.4_ENSMUSG00000039195.4.unspliced",4842,0.941833,8.506325,1.498659,0.850208756,0,0,0.814534,1.77132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366814,0,0,0.286871,0.385769
"1110012L19Rik_chrX_70385877_70389417_+_ENSMUSG00000045237.5_ENSMUSG00000045237.5.unspliced",3541,0.309162,3.143345,0.2174735,0.935291507,0,0,0.178402,0.563649,0,0,0.141242,0,0,0,0,0,0,0,0.335783,0,0,0.246606,0,0,0,0.0467517,0.0213121,0.0314165,0,0.0733289,0.031666
"1110019D14Rik_chr6_13871526_14044385_+_ENSMUSG00000097616.7_ENSMUSG00000097616.7.unspliced",172860,0.193026,2.6574,0.0504302,0.981376159,0,0,3.01972,6.51103,8.1013,7.78481,8.2751,0.442941,0.576323,40.6448,0.886001,0.644603,0.149831,8.30979,0.119447,0.691592,0.160493,4.95169,0.512528,0.397538,0.290753,0.203796,1.20299,1.60063,4.19421,0.972224,2.35249
"1110019D14Rik_chr6_13871526_14044385_+_ENSMUSG00000097616.7_ENSMUST00000181225.1",1499,1.376585,14.490165,2.199555,0.868208993,0,0,-0.0150391,-0.0125457,-0.0108963,-0.010623,-0.00839688,0.0072671,-0.014559,-1.27585e-10,1.78736,-0.0159012,-0.0160843,-0.00760029,-0.0160843,0.1714,0,1.9878,0.222256,-0.0155962,0.511311,-0.0160232,0.831996,0.518123,2.15122,-0.0152888,1.37109
"1110025M09Rik_chr15_81584174_81585028_-_ENSMUSG00000103520.1_ENSMUST00000192082.1.monoexonic.unspliced",855,1.22705,5.69638,1.23952,0.821289234,0,0,0,1.18106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480992,0
"1110032A03Rik_chr9_50762828_50775520_-_ENSMUSG00000037971.10_ENSMUSG00000037971.10.unspliced",12693,0.513786,6.204405,0.693169,0.899505391,0.312864,0,0.135367,1.47291,1.14487,0,2.33357,0.743539,0.480213,0,2.33497,0.699093,1.61417,0,1.40256,0.207952,0,2.32069,0.125066,0.0440262,1.77009,0.320934,0.679667,1.31142,2.75054,0.359674,6.18968
"1110035H17Rik_chr7_29155680_29156920_+_ENSMUSG00000099098.4_ENSMUST00000205672.1",1231,0.242409,1.696965,0.407308,0.806437663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110038B12Rik_chr17_34950238_34952471_-_ENSMUSG00000092203.7_ENSMUSG00000092203.7.unspliced",2234,24.1642,127.7625,13.73065,0.902958906,-0.00804214,0.0185679,70.6743,24.1066,-0.00804214,-0.00804214,0.00759856,0,-0.00804214,0,-0.00804214,0.90793,2.88765,0,0,-0.00804214,-0.00804214,0.00737076,-0.00804214,-0.00804214,-0.00804214,-0.00804214,-0.00804214,18.463,49.2233,-0.00804214,-0.00804214
"1110038F14Rik_chr15_76948506_76950979_+_ENSMUSG00000063236.6_ENSMUSG00000063236.6.unspliced",2474,1.32229,6.88372,0.97775,0.875627586,0,0,0,0,0,0,0,0,0,0,0,0,0.0420199,0.0670924,0,0,0,0,0,0,2.61533,0,0,0,0,0,0
"1110038F14Rik_chr15_76948506_76950979_+_ENSMUSG00000063236.6_ENSMUST00000229229.1",1131,0.471135,5.60885,0.7125,0.887286735,0,0,0,0,0,0,0,0,0,0,0,0,-0.713689,2.52999,0,0,0,0,0,0,0,0,0,0,0,0,-0.584717
"1110046J04Rik_chr13_33935567_33960181_+_ENSMUSG00000085457.3_ENSMUSG00000085457.3.unspliced",24615,0.1397315,3.03798,0.0730782,0.976510179,0,0,0.107551,0.632602,0.46305,0.40284,0.976405,0,0,5.21555,0.412616,0,0,0,0,0,0.205126,2.06448,0,0,0.584976,0,0.81965,0.48227,1.1901,0.21555,1.84808
"1110046J04Rik_chr13_33935567_33960181_+_ENSMUSG00000085457.3_ENSMUST00000180906.1",2776,0.4408415,2.75476,0.3152465,0.897314061,0,0,0.381337,1.51687,0,0,1.5415,0.21861,0,0,0.334452,0.111734,0.315984,0,0,0.176088,0,1.00884,0,0,0.3602,0,0.137177,0,0.169465,0,0.799159
"1110051M20Rik_chr2_91275068_91444704_-_ENSMUSG00000040591.18_ENSMUSG00000040591.18.unspliced",169637,0.2574725,5.5797,0.063334,0.988776605,0.549897,0,9.5659,13.2656,14.4997,6.41397,16.349,1.40001,0.330242,16.2,5.10622,3.47161,2.91087,10.8549,1.22249,0.934995,1.5364,23.9758,1.63975,4.43125,1.75483,0.827784,5.26866,1.78125,5.27763,4.23996,7.24302
"1110059E24Rik_chr19_21581202_21652976_-_ENSMUSG00000035171.9_ENSMUSG00000035171.9.unspliced",71775,1.77995,24.38115,0.2679125,0.989130925,0.297618,0,16.5427,37.5352,31.5505,23.0179,74.45,6.25274,0.833508,12.0989,7.02054,4.20106,3.638,24.1731,4.08537,2.2777,0.631417,31.8729,8.12719,16.0317,5.01988,0.817182,20.0941,7.47104,12.4533,6.90934,9.76387
"1110059G10Rik_chr9_122945089_122951000_-_ENSMUSG00000032551.7_ENSMUSG00000032551.7.unspliced",5912,0.5997505,7.167145,0.298746,0.959985218,0,0,0,0,0,0,0,0,0.025297,0.0193315,0.028536,0.14738,0,0,0,0,0,0,0,0,0,0,0.51226,0.400523,1.43705,0,0.0290722
"1110065P20Rik_chr4_124849080_124851196_-_ENSMUSG00000078570.10_ENSMUSG00000078570.10.unspliced",2117,0.4740855,2.26985,0.6499875,0.777389153,0,0,0,0,0,0,0,0,0,0,0,0.651137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16073
"1190007I07Rik_chr10_82619851_82623228_-_ENSMUSG00000063320.11_ENSMUSG00000063320.11.unspliced",3378,2.72501,12.44435,1.71382,0.87895187,0,0,0,3.64209,3.35757,0.441075,2.15834,0,0.164529,3.36879,0.175195,0.238281,0.0594951,1.92542,0,0.117886,0,0.551803,0.0491009,0,0.0353696,0,1.14939,0.553032,0.0536095,0,0
"1190028D05Rik_chr8_52356611_52403339_+_ENSMUSG00000110013.1_ENSMUSG00000110013.1.unspliced",46729,0.087141,0.3854915,0.07864685,0.830553002,0.386135,0,0.0763302,0.0357816,0.0877847,0.277377,0.0625628,0,0.220576,0.212696,0,0.227377,0.0892437,0,0,0,0,0.0470748,0,0.0927187,0,0.251078,0,0.0392544,0,0.035925,0.0101074
"1300002E11Rik_chr16_21794318_21809040_+_ENSMUSG00000097290.9_ENSMUSG00000097290.9.unspliced",14723,1.27042,12.1369,0.7709795,0.940270631,0.0502392,0,2.3818,4.55408,5.39564,3.96947,5.27624,0,0.488323,3.93878,0,0,0.003876,2.19255,0,0.231457,0.279042,3.26173,0.268926,0.274864,0.549778,0.908279,4.11853,4.84727,9.49511,0.439396,0.19736
"1300002E11Rik_chr16_21794318_21809040_+_ENSMUSG00000097290.9_ENSMUST00000180830.2",3557,0.452354,1.226763155,0.407439,0.750680172,0,0,1.41737,1.25409,0,0.619568,0,0,0,1.30712,0.795414,0,0,1.67589,0,0,0.0195727,0,0,0,0,0,0,0,0,0,0
"1300002E11Rik_chr16_21794318_21809040_+_ENSMUSG00000097290.9_ENSMUST00000209728.1",701,1.9987,2.752945,0.3460815,0.888325737,0.260399,0,0,0,0.0558425,-0.00692935,0.00759856,0,0.0379115,0,0,0,0.297209,0,0,0.103188,0,-0.00804214,0.0142754,0.00296436,0.418003,0.430213,-0.00804214,0.132484,0.17377,0.0278829,0.011506
"1300014J16Rik_chr12_80115863_80117199_+_ENSMUSG00000112545.1_ENSMUST00000219015.1.monoexonic.unspliced",1337,2.4719,22.75185,1.178429,0.950755735,0,0,1.00012,0.865855,0.37436,0,1.1436,0,0.198749,0,1.11408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265246,0,0
"1300017J02Rik_chr9_103250521_103305082_-_ENSMUSG00000033688.10_ENSMUSG00000033688.10.unspliced",54562,0.30238,2.80787,0.048392,0.983057577,0,0,1.49918,5.72736,2.83324,0.636476,4.91451,0.296066,0.137861,0.554874,0.212645,0.363371,1.43544,4.39354,0,0.563416,0.342135,7.06597,0.273746,0.0397879,0.319829,0.235711,1.24738,0.178144,0.815184,1.0097,11.3982
"1500009L16Rik_chr10_83722865_83762762_+_ENSMUSG00000087651.3_ENSMUSG00000087651.3.unspliced",39898,1.056515,13.12857,0.3399585,0.974759047,0.0888414,0.21288,6.82263,7.09869,14.3009,12.1914,17.5682,1.17531,1.14768,9.3103,0.671623,0.368221,0.48721,16.2381,1.51525,1.14175,1.57154,10.7372,9.65476,15.3979,0.764677,0.0192635,9.19749,2.22071,1.79005,3.13603,0.126058
"1500011B03Rik_chr5_114808196_114823468_-_ENSMUSG00000072694.8_ENSMUSG00000072694.8.unspliced",15273,1.23522,5.488395,0.8934635,0.859999481,0.736845,0,0.959327,1.88587,4.72933,0.734036,3.61649,0.152076,0,0.726954,0.555204,0.268653,1.94011,0.136147,0,0,0,1.08258,0,0.522825,0.149531,0,0.147078,0.464743,1.901,1.34571,1.33367
"1500015A07Rik_chr18_61726390_61735917_+_ENSMUSG00000098702.1_ENSMUST00000184181.1",1865,3.61551,14.53613,2.1049,0.873511435,0,0,0,0,0,0,0,0,0,0,3.7616,0.626249,5.19744,0,0,0,0,2.43318,0.0234181,0,0.259696,0.591519,0,0.480669,0.708079,0,7.48237
"1600010M07Rik_chr7_109998376_110151202_-_ENSMUSG00000101585.6_ENSMUSG00000101585.6.unspliced",152827,0.07660345,11.4991685,2.5889808,0.816229886,0.453262,0,2.08224,0.665847,0.437164,0.043989,0.527814,0.0645394,-0.00813873,0.354307,0.420004,2.0147,1.5149,0.0579704,0.590136,0,0.218295,0.579765,-0.001943,0.194556,0.321048,0.0963189,0.39127,0.163552,0.167698,0.117866,2.04457
"1600012H06Rik_chr17_14943184_14959570_+_ENSMUSG00000050088.9_ENSMUSG00000050088.9.unspliced",16387,0.23626,7.929285,2.6344556,0.750613376,0,0,0,0,0.223977,0,0,0,0,0,0,0.109337,0.86729,0,0,0,0,0,0,0.0690037,0,0,0,0,0.133208,0.144587,5.80908
"1600014C10Rik_chr7_38183217_38197568_+_ENSMUSG00000054676.15_ENSMUSG00000054676.15.unspliced",14352,0.5340525,4.93183,0.150379,0.970410701,0,0,1.4666,1.16258,0.454329,1.22541,1.25087,0.160118,0.160838,10.524,0.0246083,0.209191,0,1.77155,0,0,0.658787,1.72556,0.17854,0,0.204119,0,0.51989,0.331729,0.649879,0.724135,0
"1600020E01Rik_chr6_86526247_86582466_+_ENSMUSG00000097048.7_ENSMUSG00000097048.7.unspliced",56220,1.300145,12.533445,0.290703,0.977331593,0.135753,0,59.0862,33.7545,18.4446,15.04,25.7462,1.42242,0.814601,48.0942,3.39044,2.21112,1.9947,30.0141,2.12608,-0.00805614,1.32269,12.722,3.86645,4.2087,2.27973,0.16408,11.1237,6.7666,15.583,8.33539,3.17087
"1600020E01Rik_chr6_86526247_86582466_+_ENSMUSG00000097048.7_ENSMUST00000204008.2",713,3.480025,22.5887,5.75883,0.796848967,2.44457,0,0,0,0.0369265,0,0,0,0,0,0.121544,1.44819,12.4438,0,0.0223855,0,0,0,0,0,1.31118,0,0,1.00213,1.76296,0.0538875,0
"1600025M17Rik_chrX_56317608_56320664_+_ENSMUSG00000085114.1_ENSMUSG00000085114.1.unspliced",3057,0.143377,1.2435405,0.0235954,0.981378951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600025M17Rik_chrX_56317608_56320664_+_ENSMUSG00000085114.1_ENSMUST00000138262.1",666,0.1618135,0.0435024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C19Rik_chr17_47412734_47437376_-_ENSMUSG00000047150.8_ENSMUSG00000047150.8.unspliced",24643,0.0752433,1.22855,0.23891325,0.837193027,0,0,0.314095,0,0,0.268999,0.328455,0,0,0,0,0,0,0.27464,0,0,0,1.8326,0,0,0.195638,0,0,0,0,0.323325,0
"1700001G11Rik_chr14_66295334_66297129_-_ENSMUSG00000085984.7_ENSMUSG00000085984.7.unspliced",1796,0.5180295,3.70008,0.3175965,0.920950206,0,0,0,0,0,0,0,0.107805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663243
"1700001G17Rik_chr1_33669824_33670712_+_ENSMUSG00000103746.1_ENSMUST00000191779.1.monoexonic.unspliced",889,0.5170605,2.54671,0.0870285,0.966956287,0,0,0.0811586,0,0,0,0,0,0,0,0,0,0,0,0,0.0667379,0,0.184955,0,0,0,0,0,0,0,0.251475,1.56745
"1700001J03Rik_chr5_146182441_146185304_-_ENSMUSG00000095040.2_ENSMUSG00000095040.2.unspliced",2864,0.243719,1.88536,0,1,0,0,0,0,0,0,0.125126,0,0,0,0.210998,0.485546,1.02824,0,0,0,0,0,0,0.0876219,0.326294,0.0955367,0.27194,0.453305,0.235416,0.323325,0
"1700001J03Rik_chr5_146182441_146185304_-_ENSMUSG00000095040.2_ENSMUST00000073721.6",787,0.6844805,3.273875,0.651016,0.834131445,0.362724,0,0,0,0,0,-0.0160843,0,0,0,0.135175,0.696286,2.22604,0,0,0.169926,0,0,0.14818,0.105418,0.302146,0.238303,0,0.0741731,0,-0.0160843,0.218862
"1700001K19Rik_chr12_110667688_110682619_-_ENSMUSG00000056508.6_ENSMUSG00000056508.6.unspliced",14932,0.106225,1.628744,0.097481,0.943529378,0,0,0.456701,0.284574,0.32734,0.0991048,0.271737,0,0,0,0.128384,0.041807,0,6.03939,0.171042,0.11123,0,0.849909,0,0,0.351066,0,0.411166,0,0,0.337068,0
"1700001L05Rik_chr15_83353847_83367282_-_ENSMUSG00000075511.9_ENSMUSG00000075511.9.unspliced",13436,0.38377,3.29212,0.0483961,0.985512388,0.0178135,0.23949,0.615783,2.50474,0.482735,3.58794,2.04101,0,0.121777,4.24827,0,0.196079,0,0.653324,0,0,0,1.77261,0,2.0016,0,0.11795,1.14748,0.95266,0,0.127764,0.208431
"1700001L05Rik_chr15_83353847_83367282_-_ENSMUSG00000075511.9_ENSMUST00000179705.1",1260,0.1549585,0.13563,0.03194485,0.809369664,0,0,0,0.000213756,0.0780867,0,0,0,0,0,0,0,0,0,0,0.131596,0,0,0,0,0,0,0,0.0473498,0,0,0.25658
"1700001O22Rik_chr2_30794769_30803661_-_ENSMUSG00000044320.14_ENSMUSG00000044320.14.unspliced",8893,0.207971,2.772975,0.06061355,0.978608909,0,0,0.124194,1.0317,1.50016,0.265882,0.923299,0.571014,0.4772,0,0.369857,0.337739,0.375203,0.367325,-0.00968266,0,0,0.990455,0.24183,0.496267,0.084033,0.046386,0.172324,0.658805,0.5021,0.441021,0.540893
"1700001P01Rik_chr11_97771481_97775918_-_ENSMUSG00000018543.8_ENSMUSG00000018543.8.unspliced",4438,0.422529,4.49086,0.1350515,0.970805429,0,0,7.11269,1.08761,-0.0160843,0,0,0,0,0.764004,0,0,0,-0.0162524,0,0,0,0,0,-0.0160843,0,0,0,0.087257,0,0,0
"1700003C15Rik_chr5_11689253_11769308_-_ENSMUSG00000099391.2_ENSMUSG00000099391.2.unspliced",80056,0.187375,0.4372205,0.03143045,0.932934202,0,0,0.00930413,0.611716,0.174683,0.0431476,0.704751,0,0,0.0964419,0.150547,1.49396,0.660527,0,0,0,0,0.385428,0,0.0112301,0.0901657,0,0.121547,1.01671,2.01114,0,0.31457
"1700003F12Rik_chr2_154547085_154550003_+_ENSMUSG00000038523.10_ENSMUSG00000038523.10.unspliced",2919,0.263373,3.124535,0.1028674,0.968126875,0,0,0.0661181,0.351724,0,0,0,0,0,0,0.219219,0,0,0,0,0,0.19815,1.10099,0,0.229463,0.714075,0,0,0.195315,0.0470833,0,0
"1700003G18Rik_chr7_116081759_116093159_-_ENSMUSG00000087621.7_ENSMUSG00000087621.7.unspliced",11401,0.136713,0.557011,0.06205035,0.899767042,0.0600753,0,0.446395,0,0,0.0143463,0,0,0,0,0,0,0,0.122441,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003M07Rik_chr4_129960374_129963657_+_ENSMUSG00000085389.7_ENSMUSG00000085389.7.unspliced",3284,0.492243,4.57859,0.372773,0.924713054,0,0,0,0,0.963554,0.216894,0.108597,0,0,0,0,0.218673,0,0.128105,0,0,0,0,0.154414,0,0.414047,0,0.288162,0.355944,0.63387,0.167297,0
"1700007K13Rik_chr2_28462001_28466332_-_ENSMUSG00000026831.16_ENSMUSG00000026831.16.unspliced",4332,0.847986,6.140235,0.2673095,0.958282069,-0.0112128,0,1.01547,0.113697,0.319196,0,0.185027,0,0.0262014,-0.00804214,0,-0.0351708,0,-0.00804214,0,0.169926,0,0,0,0,0.405897,0,0,0,0.154995,0.125738,0
"1700007L15Rik_chr16_33379854_33380727_-_ENSMUSG00000097318.2_ENSMUSG00000097318.2.unspliced",874,2.38723,11.24665,1.18133,0.904945937,0,0,0,0,0,0,0.154122,0,0,0,0,0.153076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008A23Rik_chr9_99322826_99323516_+_ENSMUSG00000103452.1_ENSMUST00000191694.1.monoexonic.unspliced",691,0.0630145,2.138985,0.2441045,0.897568052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121271
"1700008J07Rik_chr7_127510438_127512869_-_ENSMUSG00000101225.1_ENSMUST00000185351.1.monoexonic.unspliced",2432,1.87446,12.9058,2.96469,0.813194804,0,0,0,1.99895,3.01583,0,1.04499,0.293549,0,0,0,0,0,0,0,0,0.0195727,2.65085,0,0.0110065,0,0,3.50472,0,0,0,6.3897
"1700008O03Rik_chr7_44360043_44385820_-_ENSMUSG00000008028.15_ENSMUSG00000008028.15.unspliced",25778,0.264843,3.335895,0.145306,0.958259807,0,0,0.699076,2.44796,1.6911,0.810374,1.35864,0.607937,0.586577,5.88985,0.960599,0.0346808,0.443351,11.6016,0.215813,0,0,3.70095,0.0669525,-0.00804214,0.937324,0,0.854901,0.233745,3.43564,0.135658,0.25441
"1700010I14Rik_chr17_8988333_9011949_+_ENSMUSG00000023873.13_ENSMUSG00000023873.13.unspliced",23617,0.2889325,3.26517,0.1026581,0.969518011,0.127242,-0.00862021,0.270734,0.924422,1.84688,1.99287,1.0891,0.296717,0.545601,0.283936,0.780808,0.600983,0.0560649,1.42752,0,0.240945,0,3.06391,0.32672,0.389797,0.514289,0.0272496,1.79306,0.58777,0.54652,0.305363,0.305974
"1700010K24Rik_chr3_108248909_108256985_-_ENSMUSG00000085102.1_ENSMUSG00000085102.1.unspliced",8077,0.569956,7.530745,0.3316085,0.957823252,0.661827,0,-0.184193,0,0.500417,0,0.612262,0.232134,0.16658,0.0193315,1.3557,0.340842,2.48657,0,0,0.140798,0.101352,1.62915,0,0,0.58793,0.152424,0.235681,0.295082,0.539704,0.237269,5.70907
"1700012C14Rik_chr6_30460128_30463313_+_ENSMUSG00000085470.1_ENSMUSG00000085470.1.unspliced",3186,0.0703701,0.372918,0.02233965,0.94348079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21578,0,0,0,0,0,0,0,0,0
