"genes","total_intra","rare","prev","rare_ratio"
"1110065P20Rik_chr4_124849080_124851196_-_ENSMUSG00000078570.10_ENSMUSG00000078570.10.unspliced",67,27,39,0.402985074626866
"1190007I07Rik_chr10_82619851_82623228_-_ENSMUSG00000063320.11_ENSMUSG00000063320.11.unspliced",112,10,96,0.0892857142857143
"1190028D05Rik_chr8_52356611_52403339_+_ENSMUSG00000110013.1_ENSMUSG00000110013.1.unspliced",71,33,35,0.464788732394366
"1300002E11Rik_chr16_21794318_21809040_+_ENSMUSG00000097290.9_ENSMUSG00000097290.9.unspliced",78,15,60,0.192307692307692
"1300014J16Rik_chr12_80115863_80117199_+_ENSMUSG00000112545.1_ENSMUST00000219015.1.monoexonic.unspliced",72,19,49,0.263888888888889
"1300017J02Rik_chr9_103250521_103305082_-_ENSMUSG00000033688.10_ENSMUSG00000033688.10.unspliced",47,16,30,0.340425531914894
"1500009L16Rik_chr10_83722865_83762762_+_ENSMUSG00000087651.3_ENSMUSG00000087651.3.unspliced",68,9,55,0.132352941176471
"1500011B03Rik_chr5_114808196_114823468_-_ENSMUSG00000072694.8_ENSMUSG00000072694.8.unspliced",86,20,64,0.232558139534884
"1600010M07Rik_chr7_109998376_110151202_-_ENSMUSG00000101585.6_ENSMUSG00000101585.6.unspliced",44,14,25,0.318181818181818
"1600012H06Rik_chr17_14943184_14959570_+_ENSMUSG00000050088.9_ENSMUSG00000050088.9.unspliced",93,12,75,0.129032258064516
"1600014C10Rik_chr7_38183217_38197568_+_ENSMUSG00000054676.15_ENSMUSG00000054676.15.unspliced",77,20,53,0.25974025974026
"1600020E01Rik_chr6_86526247_86582466_+_ENSMUSG00000097048.7_ENSMUSG00000097048.7.unspliced",74,6,67,0.0810810810810811
"1700001C19Rik_chr17_47412734_47437376_-_ENSMUSG00000047150.8_ENSMUSG00000047150.8.unspliced",57,27,26,0.473684210526316
"1700001J03Rik_chr5_146182441_146185304_-_ENSMUSG00000095040.2_ENSMUSG00000095040.2.unspliced",49,16,30,0.326530612244898
"1700001K19Rik_chr12_110667688_110682619_-_ENSMUSG00000056508.6_ENSMUSG00000056508.6.unspliced",97,38,57,0.391752577319588
"1700001L05Rik_chr15_83353847_83367282_-_ENSMUSG00000075511.9_ENSMUSG00000075511.9.unspliced",85,25,56,0.294117647058824
"1700001L05Rik_chr15_83353847_83367282_-_ENSMUSG00000075511.9_ENSMUST00000179705.1",74,24,48,0.324324324324324
"1700001O22Rik_chr2_30794769_30803661_-_ENSMUSG00000044320.14_ENSMUSG00000044320.14.unspliced",43,18,22,0.418604651162791
"1700003F12Rik_chr2_154547085_154550003_+_ENSMUSG00000038523.10_ENSMUSG00000038523.10.unspliced",51,30,19,0.588235294117647
"1700008J07Rik_chr7_127510438_127512869_-_ENSMUSG00000101225.1_ENSMUST00000185351.1.monoexonic.unspliced",101,19,77,0.188118811881188
"1700008O03Rik_chr7_44360043_44385820_-_ENSMUSG00000008028.15_ENSMUSG00000008028.15.unspliced",68,16,51,0.235294117647059
"1700010I14Rik_chr17_8988333_9011949_+_ENSMUSG00000023873.13_ENSMUSG00000023873.13.unspliced",63,15,47,0.238095238095238
"1700010K24Rik_chr3_108248909_108256985_-_ENSMUSG00000085102.1_ENSMUSG00000085102.1.unspliced",55,14,39,0.254545454545455
"1700012C14Rik_chr6_30460128_30463313_+_ENSMUSG00000085470.1_ENSMUSG00000085470.1.unspliced",40,10,27,0.25
"1700012D14Rik_chr7_111083064_111122684_-_ENSMUSG00000110424.1_ENSMUSG00000110424.1.unspliced",57,8,46,0.140350877192982
"1700016A09Rik_chr8_120536892_120537726_-_ENSMUSG00000102737.1_ENSMUST00000192004.1.monoexonic.unspliced",42,15,24,0.357142857142857
"1700019A02Rik_chr1_53158577_53187636_-_ENSMUSG00000060715.9_ENSMUSG00000060715.9.unspliced",53,20,29,0.377358490566038
"1700019D03Rik_chr1_52922324_53020179_-_ENSMUSG00000043629.12_ENSMUSG00000043629.12.unspliced",70,27,36,0.385714285714286
"1700019D03Rik_chr1_52922324_53020179_-_ENSMUSG00000043629.12_ENSMUST00000114492.7",75,15,58,0.2
"1700021A07Rik_chr10_21419358_21426565_+_ENSMUSG00000037535.5_ENSMUSG00000037535.5.unspliced",68,17,46,0.25
"1700022N22Rik_chr17_25985808_25991030_+_ENSMUSG00000097523.2_ENSMUSG00000097523.2.unspliced",53,21,29,0.39622641509434
"1700022N22Rik_chr17_25985808_25991030_+_ENSMUSG00000097523.2_ENSMUST00000180932.2",61,31,27,0.508196721311475
"1700024B05Rik_chr14_41943995_42003821_+_ENSMUSG00000052334.11_ENSMUSG00000052334.11.unspliced",58,16,42,0.275862068965517
"1700025G04Rik_chr1_151852403_152090125_-_ENSMUSG00000032666.16_ENSMUSG00000032666.16.unspliced",66,9,54,0.136363636363636
"1700025M24Rik_chr5_73268581_73284187_-_ENSMUSG00000100175.6_ENSMUSG00000100175.6.unspliced",57,6,51,0.105263157894737
"1700026N04Rik_chr13_47106419_47109519_+_ENSMUSG00000114681.1_ENSMUSG00000114681.1.unspliced",75,14,56,0.186666666666667
"1700027I24Rik_chr9_36668856_36693189_-_ENSMUSG00000098304.2_ENSMUSG00000098304.2.unspliced",49,19,28,0.387755102040816
"1700027J07Rik_chr10_43745809_43765836_+_ENSMUSG00000111422.1_ENSMUSG00000111422.1.unspliced",55,23,30,0.418181818181818
"1700028E10Rik_chr5_151368675_151432118_+_ENSMUSG00000097321.5_ENSMUSG00000097321.5.unspliced",62,27,32,0.435483870967742
"1700028J19Rik_chr7_44229811_44246695_-_ENSMUSG00000038782.7_ENSMUSG00000038782.7.unspliced",70,21,42,0.3
"1700028N14Rik_chr11_103264860_103267745_-_ENSMUSG00000078635.3_ENSMUSG00000078635.3.unspliced",82,37,41,0.451219512195122
"1700029J07Rik_chr8_45953606_45975440_-_ENSMUSG00000071103.10_ENSMUSG00000071103.10.unspliced",64,16,46,0.25
"1700029J07Rik_chr8_45953606_45975440_-_ENSMUSG00000071103.10_ENSMUST00000095323.7",76,21,51,0.276315789473684
"1700030J22Rik_chr8_116969594_116978959_-_ENSMUSG00000031847.8_ENSMUSG00000031847.8.unspliced",83,18,60,0.216867469879518
"1700030K09Rik_chr8_72443880_72461001_+_ENSMUSG00000052794.13_ENSMUSG00000052794.13.unspliced",77,22,53,0.285714285714286
"1700034H15Rik_chr1_191886130_191907527_-_ENSMUSG00000055833.14_ENSMUSG00000055833.14.unspliced",52,11,38,0.211538461538462
"1700034P13Rik_chr1_9747648_9791924_+_ENSMUSG00000097893.8_ENSMUSG00000097893.8.unspliced",62,28,30,0.451612903225806
"1700037H04Rik_chr2_131146324_131160081_-_ENSMUSG00000027327.16_ENSMUSG00000027327.16.unspliced",95,29,61,0.305263157894737
"1700039E22Rik_chr19_44828493_44835938_-_ENSMUSG00000092369.1_ENSMUSG00000092369.1.unspliced",41,9,30,0.219512195121951
"1700052K11Rik_chr11_105177726_105181433_-_ENSMUSG00000099681.1_ENSMUST00000190120.1.monoexonic.unspliced",87,15,70,0.172413793103448
"1700055C04Rik_chr9_64038465_64041465_-_ENSMUSG00000093616.1_ENSMUSG00000093616.1.unspliced",50,15,32,0.3
"1700055D18Rik_chr4_45011687_45015406_+_ENSMUSG00000070997.4_ENSMUST00000186030.1.monoexonic.unspliced",69,14,54,0.202898550724638
"1700056N10Rik_chr16_17047520_17049111_+_ENSMUSG00000084792.1_ENSMUSG00000084792.1.unspliced",63,27,34,0.428571428571429
"1700066M21Rik_chr1_57377620_57385423_+_ENSMUSG00000038323.3_ENSMUSG00000038323.3.unspliced",62,23,36,0.370967741935484
"1700082M22Rik_chr8_104641807_104658558_+_ENSMUSG00000023737.14_ENSMUSG00000023737.14.unspliced",69,22,43,0.318840579710145
"1700084C06Rik_chr9_21091755_21128393_+_ENSMUSG00000086016.1_ENSMUSG00000086016.1.unspliced",80,13,63,0.1625
"1700084E18Rik_chr2_30236795_30238223_-_ENSMUSG00000100747.4_ENSMUSG00000100747.4.unspliced",58,30,26,0.517241379310345
"1700086D15Rik_chr11_65151910_65159891_-_ENSMUSG00000020548.10_ENSMUSG00000020548.10.unspliced",59,12,44,0.203389830508475
"1700086P04Rik_chr4_129050097_129057983_-_ENSMUSG00000085085.2_ENSMUSG00000085085.2.unspliced",60,10,48,0.166666666666667
"1700093J21Rik_chr16_96082676_96089070_+_ENSMUSG00000117289.1_ENSMUSG00000117289.1.unspliced",70,13,50,0.185714285714286
"1700094D03Rik_chr3_90062796_90068347_+_ENSMUSG00000118506.1_ENSMUSG00000118506.1.unspliced",91,8,80,0.0879120879120879
"1700094D03Rik_chr3_90062796_90068347_+_ENSMUSG00000118506.1_ENSMUST00000029551.2",85,5,79,0.0588235294117647
"1700102P08Rik_chr9_108392805_108410934_+_ENSMUSG00000032611.9_ENSMUSG00000032611.9.unspliced",55,13,39,0.236363636363636
"1700102P08Rik_chr9_108392805_108410934_+_ENSMUSG00000032611.9_ENSMUST00000035234.5",61,35,25,0.573770491803279
"1700102P08Rik_chr9_108392805_108410934_+_ENSMUSG00000032611.9_ENSMUST00000192995.5",64,26,36,0.40625
"1700108F19Rik_chr14_76672963_76687169_+_ENSMUSG00000101009.6_ENSMUSG00000101009.6.unspliced",69,20,43,0.289855072463768
"1700109H08Rik_chr5_3571566_3584356_+_ENSMUSG00000008307.11_ENSMUSG00000008307.11.unspliced",62,16,44,0.258064516129032
"1700110C19Rik_chr17_10324602_10329307_+_ENSMUSG00000099384.6_ENSMUSG00000099384.6.unspliced",52,21,30,0.403846153846154
"1700112D23Rik_chr3_28702667_28781108_-_ENSMUSG00000091329.2_ENSMUSG00000091329.2.unspliced",40,8,32,0.2
"1700112J16Rik_chr7_67204082_67222536_-_ENSMUSG00000097527.2_ENSMUSG00000097527.2.unspliced",55,14,39,0.254545454545455
"1700113A16Rik_chr3_88171556_88177785_-_ENSMUSG00000096935.5_ENSMUSG00000096935.5.unspliced",51,23,25,0.450980392156863
"1700120B22Rik_chr10_63243068_63244153_-_ENSMUSG00000045391.4_ENSMUSG00000045391.4.unspliced",66,37,28,0.560606060606061
"1700123M08Rik_chr4_11966565_11994280_+_ENSMUSG00000085614.1_ENSMUSG00000085614.1.unspliced",62,9,51,0.145161290322581
"1700124L16Rik_chr6_83761756_83762865_-_ENSMUSG00000099354.6_ENSMUST00000190077.1.monoexonic.unspliced",57,38,19,0.666666666666667
"1810010H24Rik_chr11_107025681_107030443_+_ENSMUSG00000078607.6_ENSMUSG00000078607.6.unspliced",82,24,52,0.292682926829268
"1810013L24Rik_chr16_8830100_8858922_+_ENSMUSG00000022507.6_ENSMUSG00000022507.6.unspliced",81,3,78,0.037037037037037
"1810014B01Rik_chr10_86685525_86694806_+_ENSMUSG00000097412.2_ENSMUST00000218095.1",64,31,29,0.484375
"1810019D21Rik_chr8_106135400_106138525_+_ENSMUSG00000086390.7_ENSMUSG00000086390.7.unspliced",44,15,29,0.340909090909091
"1810019D21Rik_chr8_106135400_106138525_+_ENSMUSG00000086390.7_ENSMUST00000145343.1",55,23,30,0.418181818181818
"1810021B22Rik_chr15_89071196_89075852_-_ENSMUSG00000087331.8_ENSMUSG00000087331.8.unspliced",58,17,40,0.293103448275862
"1810024B03Rik_chr2_127186355_127208280_-_ENSMUSG00000044145.2_ENSMUSG00000044145.2.unspliced",41,11,29,0.268292682926829
"1810026B05Rik_chr7_73539801_73558395_-_ENSMUSG00000101970.8_ENSMUSG00000101970.8.unspliced",80,15,62,0.1875
"1810030O07Rik_chrX_12654879_12673668_-_ENSMUSG00000044148.6_ENSMUSG00000044148.6.unspliced",77,36,38,0.467532467532468
"1810037I17Rik_chr3_122924203_122926184_+_ENSMUSG00000054091.9_ENSMUSG00000054091.9.unspliced",117,32,80,0.273504273504274
"1810044D09Rik_chr6_91440987_91441755_+_ENSMUSG00000100680.1_ENSMUSG00000100680.1.unspliced",95,46,43,0.48421052631579
"1810055G02Rik_chr19_3708293_3717881_+_ENSMUSG00000035372.2_ENSMUSG00000035372.2.unspliced",88,15,67,0.170454545454545
"1810058I24Rik_chr6_35252654_35263496_+_ENSMUSG00000073155.12_ENSMUSG00000073155.12.unspliced",107,21,83,0.196261682242991
"1810062G17Rik_chr3_36475937_36482299_+_ENSMUSG00000027713.6_ENSMUSG00000027713.6.unspliced",56,17,39,0.303571428571429
"1810062O18Rik_chr14_20546079_20570687_+_ENSMUSG00000084925.8_ENSMUSG00000084925.8.unspliced",54,17,33,0.314814814814815
"2010001A14Rik_chr11_57795499_57801417_-_ENSMUSG00000087165.7_ENSMUSG00000087165.7.unspliced",56,14,40,0.25
"2010010A06Rik_chr18_75288655_75297329_-_ENSMUSG00000102047.1_ENSMUSG00000102047.1.unspliced",49,19,25,0.387755102040816
"2010110E17Rik_chr8_86885688_86886566_+_ENSMUSG00000098434.1_ENSMUST00000184161.1.monoexonic.unspliced",58,25,28,0.431034482758621
"2010110K18Rik_chr18_34751809_34758685_+_ENSMUSG00000097755.2_ENSMUSG00000097755.2.unspliced",75,21,54,0.28
"2010204K13Rik_chrX_7411817_7445143_-_ENSMUSG00000063018.6_ENSMUSG00000063018.6.unspliced",60,18,37,0.3
"2010300C02Rik_chr1_37611677_37720085_-_ENSMUSG00000026090.16_ENSMUSG00000026090.16.unspliced",81,17,62,0.209876543209877
"2010310C07Rik_chr6_42370671_42381215_+_ENSMUSG00000101268.6_ENSMUSG00000101268.6.unspliced",50,25,24,0.5
"2210016F16Rik_chr13_58379817_58385225_-_ENSMUSG00000021550.6_ENSMUSG00000021550.6.unspliced",53,16,36,0.30188679245283
"2210016L21Rik_chr5_114942158_114949783_+_ENSMUSG00000029559.15_ENSMUSG00000029559.15.unspliced",77,16,59,0.207792207792208
"2210406O10Rik_chr5_36447611_36464853_-_ENSMUSG00000039563.6_ENSMUSG00000039563.6.unspliced",46,17,25,0.369565217391304
"2210408F21Rik_chr6_31220351_31337404_+_ENSMUSG00000087380.7_ENSMUSG00000087380.7.unspliced",61,35,24,0.573770491803279
"2210408I21Rik_chr13_77135540_77613784_+_ENSMUSG00000071252.6_ENSMUSG00000071252.6.unspliced",60,9,49,0.15
"2210408I21Rik_chr13_77135540_77613784_+_ENSMUSG00000071252.6_ENSMUST00000168779.2",61,20,38,0.327868852459016
"2210408I21Rik_chr13_77135540_77613784_+_ENSMUSG00000071252.6_ENSMUST00000225605.1",76,22,51,0.289473684210526
"2300009A05Rik_chr9_63394447_63399246_-_ENSMUSG00000032403.8_ENSMUSG00000032403.8.unspliced",68,24,42,0.352941176470588
"2310002D06Rik_chr12_80507206_80517954_+_ENSMUSG00000112701.1_ENSMUSG00000112701.1.unspliced",48,21,23,0.4375
"2310010J17Rik_chr7_90124822_90129984_-_ENSMUSG00000097162.2_ENSMUSG00000097162.2.unspliced",83,34,44,0.409638554216867
"2310014F06Rik_chr7_112612560_112680081_-_ENSMUSG00000085945.3_ENSMUSG00000085945.3.unspliced",66,10,50,0.151515151515152
"2310015A10Rik_chr12_80120546_80132844_-_ENSMUSG00000097729.2_ENSMUSG00000097729.2.unspliced",55,16,35,0.290909090909091
"2310022A10Rik_chr7_27553233_27582099_+_ENSMUSG00000049643.15_ENSMUSG00000049643.15.unspliced",77,27,46,0.350649350649351
"2310030G06Rik_chr9_50739691_50746536_-_ENSMUSG00000032062.3_ENSMUSG00000032062.3.unspliced",84,25,53,0.297619047619048
"2310040G07Rik_chr5_76928372_76947758_+_ENSMUSG00000072852.4_ENSMUSG00000072852.4.unspliced",42,20,21,0.476190476190476
"2310043P16Rik_chr7_34389732_34393612_+_ENSMUSG00000108732.1_ENSMUST00000205403.1.monoexonic.unspliced",93,48,42,0.516129032258065
"2310047D07Rik_chr5_149231332_149237984_+_ENSMUSG00000100783.1_ENSMUSG00000100783.1.unspliced",62,9,49,0.145161290322581
"2310047D07Rik_chr5_149231332_149237984_+_ENSMUSG00000100783.1_ENSMUST00000189493.1",53,26,23,0.490566037735849
"2310057M21Rik_chr7_131338220_131362759_-_ENSMUSG00000040177.10_ENSMUSG00000040177.10.unspliced",90,4,84,0.0444444444444444
"2310058D17Rik_chr11_58965748_58978050_-_ENSMUSG00000085379.1_ENSMUSG00000085379.1.unspliced",70,18,50,0.257142857142857
"2400006E01Rik_chr3_41521247_41528474_-_ENSMUSG00000106223.1_ENSMUSG00000106223.1.unspliced",67,13,52,0.194029850746269
"2400006E01Rik_chr3_41521247_41528474_-_ENSMUSG00000106223.1_ENSMUST00000199633.1",88,38,46,0.431818181818182
"2410002F23Rik_chr7_44246722_44252319_+_ENSMUSG00000045411.16_ENSMUSG00000045411.16.unspliced",98,47,48,0.479591836734694
"2410002F23Rik_chr7_44246722_44252319_+_ENSMUSG00000045411.16_ENSMUST00000071296.10",94,40,51,0.425531914893617
"2410002F23Rik_chr7_44246722_44252319_+_ENSMUSG00000045411.16_ENSMUST00000107948.7",100,45,52,0.45
"2410004B18Rik_chr3_145938014_145944829_+_ENSMUSG00000036873.13_ENSMUSG00000036873.13.unspliced",72,41,29,0.569444444444444
"2410004P03Rik_chr12_17003319_17011727_-_ENSMUSG00000071398.8_ENSMUSG00000071398.8.unspliced",49,24,24,0.489795918367347
"2410018L13Rik_chr12_22953997_23010284_-_ENSMUSG00000073164.11_ENSMUSG00000073164.11.unspliced",75,3,70,0.04
"2410022M11Rik_chr14_56811989_56813899_+_ENSMUSG00000100017.2_ENSMUST00000186474.2.monoexonic.unspliced",68,29,36,0.426470588235294
"2410131K14Rik_chr5_118245227_118266093_+_ENSMUSG00000032840.7_ENSMUSG00000032840.7.unspliced",89,40,44,0.449438202247191
"2500002B13Rik_chr8_57488054_57508877_+_ENSMUSG00000096917.2_ENSMUSG00000096917.2.unspliced",94,43,45,0.457446808510638
"2500004C02Rik_chr2_153341157_153346073_-_ENSMUSG00000073236.4_ENSMUSG00000073236.4.unspliced",65,17,48,0.261538461538462
"2510002D24Rik_chr16_18836578_18840160_+_ENSMUSG00000071632.10_ENSMUSG00000071632.10.unspliced",100,15,82,0.15
"2510002D24Rik_chr16_18836578_18840160_+_ENSMUSG00000071632.10_ENSMUST00000191388.1",97,13,81,0.134020618556701
"2510009E07Rik_chr16_21649045_21694665_-_ENSMUSG00000043391.10_ENSMUSG00000043391.10.unspliced",82,9,71,0.109756097560976
"2510009E07Rik_chr16_21649045_21694665_-_ENSMUSG00000043391.10_ENSMUST00000231592.1",86,21,63,0.244186046511628
"2510039O18Rik_chr4_147940895_147947314_+_ENSMUSG00000044496.6_ENSMUSG00000044496.6.unspliced",89,38,44,0.426966292134831
"2610001J05Rik_chr6_13867735_13871518_-_ENSMUSG00000052419.7_ENSMUST00000185219.1",86,21,59,0.244186046511628
"2610002M06Rik_chrX_107782751_107816334_-_ENSMUSG00000031242.7_ENSMUSG00000031242.7.unspliced",68,34,33,0.5
"2610005L07Rik_chr8_20385782_20424814_-_ENSMUSG00000071793.12_ENSMUSG00000071793.12.unspliced",65,13,52,0.2
"2610005L07Rik_chr8_20385782_20424814_-_ENSMUSG00000071793.12_ENSMUST00000140111.7",87,47,37,0.540229885057471
"2610008E11Rik_chr10_79064374_79097600_-_ENSMUSG00000060301.6_ENSMUSG00000060301.6.unspliced",61,13,47,0.213114754098361
"2610008E11Rik_chr10_79064374_79097600_-_ENSMUSG00000060301.6_ENSMUST00000039271.6",53,10,40,0.188679245283019
"2610008E11Rik_chr10_79064374_79097600_-_ENSMUSG00000060301.6_ENSMUST00000220220.1",61,28,27,0.459016393442623
"2610020C07Rik_chr16_11203366_11246201_+_ENSMUSG00000097537.2_ENSMUSG00000097537.2.unspliced",83,18,58,0.216867469879518
"2610021A01Rik_chr7_41599230_41628533_+_ENSMUSG00000091474.2_ENSMUSG00000091474.2.unspliced",44,20,22,0.454545454545455
"2610035D17Rik_chr11_113043895_113201838_-_ENSMUSG00000087259.7_ENSMUSG00000087259.7.unspliced",71,27,41,0.380281690140845
"2610037D02Rik_chr15_96134819_96284495_-_ENSMUSG00000097536.2_ENSMUSG00000097536.2.unspliced",38,2,35,0.0526315789473684
"2610037D02Rik_chr15_96134819_96284495_-_ENSMUSG00000097536.2_ENSMUST00000185067.1",56,29,24,0.517857142857143
"2610044O15Rik8_chr8_129216354_129234406_-_ENSMUSG00000071302.10_ENSMUSG00000071302.10.unspliced",68,20,47,0.294117647058824
"2610044O15Rik8_chr8_129216354_129234406_-_ENSMUSG00000071302.10_ENSMUST00000186619.6",56,2,52,0.0357142857142857
"2610203C22Rik_chr1_9560832_9631175_-_ENSMUSG00000079671.8_ENSMUSG00000079671.8.unspliced",49,16,28,0.326530612244898
"2610206C17Rik_chr7_84689640_84779053_+_ENSMUSG00000085236.3_ENSMUSG00000085236.3.unspliced",53,21,30,0.39622641509434
"2610301B20Rik_chr4_10874498_10899425_+_ENSMUSG00000059482.15_ENSMUSG00000059482.15.unspliced",63,22,34,0.349206349206349
"2610306O10Rik_chr7_128538932_128539543_+_ENSMUSG00000108614.1_ENSMUST00000206512.1.monoexonic.unspliced",75,24,45,0.32
"2610307P16Rik_chr13_28460034_28885620_-_ENSMUSG00000085936.7_ENSMUSG00000085936.7.unspliced",61,12,47,0.19672131147541
"2610318M16Rik_chr14_8367440_8371010_+_ENSMUSG00000114532.1_ENSMUSG00000114532.1.unspliced",49,26,21,0.530612244897959
"2610318N02Rik_chr16_17113398_17125167_-_ENSMUSG00000049916.12_ENSMUSG00000049916.12.unspliced",53,10,42,0.188679245283019
"2610507B11Rik_chr11_78261752_78290623_+_ENSMUSG00000010277.7_ENSMUSG00000010277.7.unspliced",69,18,49,0.260869565217391
"2610507I01Rik_chr11_59199836_59202385_-_ENSMUSG00000085882.1_ENSMUSG00000085882.1.unspliced",73,31,41,0.424657534246575
"2610528J11Rik_chr4_118526999_118530228_+_ENSMUSG00000028536.12_ENSMUSG00000028536.12.unspliced",60,14,44,0.233333333333333
"2700038G22Rik_chr5_23850597_23855038_+_ENSMUSG00000097180.5_ENSMUSG00000097180.5.unspliced",80,34,40,0.425
"2700046G09Rik_chr19_32389216_32391190_+_ENSMUSG00000097787.2_ENSMUSG00000097787.2.unspliced",83,16,66,0.192771084337349
"2700046G09Rik_chr19_32389216_32391190_+_ENSMUSG00000097787.2_ENSMUST00000181612.2",73,13,60,0.178082191780822
"2700049A03Rik_chr12_71136848_71243303_+_ENSMUSG00000034601.17_ENSMUSG00000034601.17.unspliced",62,3,55,0.0483870967741935
"2700049A03Rik_chr12_71136848_71243303_+_ENSMUSG00000034601.17_ENSMUST00000149564.7",45,11,33,0.244444444444444
"2700054A10Rik_chr17_13482553_13668891_-_ENSMUSG00000117042.1_ENSMUSG00000117042.1.unspliced",60,18,39,0.3
"2700062C07Rik_chr18_24470850_24477798_+_ENSMUSG00000024273.8_ENSMUSG00000024273.8.unspliced",79,8,71,0.10126582278481
"2700081O15Rik_chr19_7417625_7425904_+_ENSMUSG00000053080.10_ENSMUSG00000053080.10.unspliced",77,3,72,0.038961038961039
"2700097O09Rik_chr12_55045661_55080110_-_ENSMUSG00000062198.5_ENSMUSG00000062198.5.unspliced",67,15,49,0.223880597014925
"2700099C18Rik_chr17_94750100_94775132_+_ENSMUSG00000098090.8_ENSMUSG00000098090.8.unspliced",65,19,45,0.292307692307692
"2810002D19Rik_chr2_94406151_94411682_+_ENSMUSG00000045464.5_ENSMUSG00000045464.5.unspliced",79,21,53,0.265822784810127
"2810004N23Rik_chr8_124836945_124863120_-_ENSMUSG00000031984.8_ENSMUSG00000031984.8.unspliced",65,15,48,0.230769230769231
"2810006K23Rik_chr5_124328089_124341844_+_ENSMUSG00000047635.6_ENSMUSG00000047635.6.unspliced",83,15,64,0.180722891566265
"2810013P06Rik_chr8_123042466_123044602_+_ENSMUSG00000099881.1_ENSMUST00000186531.1.monoexonic.unspliced",77,17,57,0.220779220779221
"2810021J22Rik_chr11_58867216_58883288_+_ENSMUSG00000020491.15_ENSMUSG00000020491.15.unspliced",88,11,74,0.125
"2810025M15Rik_chr1_157412352_157420236_+_ENSMUSG00000049881.13_ENSMUSG00000049881.13.unspliced",51,18,31,0.352941176470588
"2810029C07Rik_chr12_111572317_111574402_-_ENSMUSG00000096995.2_ENSMUSG00000096995.2.unspliced",57,17,39,0.298245614035088
"2810030D12Rik_chr8_13200720_13207714_+_ENSMUSG00000099338.1_ENSMUSG00000099338.1.unspliced",66,24,41,0.363636363636364
"2810039B14Rik_chr15_75642129_75653643_+_ENSMUSG00000099034.7_ENSMUSG00000099034.7.unspliced",56,15,40,0.267857142857143
